2025-05-09 10:45:54,DDoS,6s
2025-05-09 10:46:23,DDoS,9s
2025-05-09 10:46:23,CPU Spike,9s
2025-05-10 07:24:33,CPU Spike,10s
2025-05-10 07:24:33,Fuga de Memoria,10s
2025-05-10 07:41:07,CPU Spike,3s
2025-05-10 07:49:13,DDoS,7s
2025-05-10 07:49:13,CPU Spike,7s
2025-05-10 07:49:13,Fuga de Memoria,7s
2025-05-10 07:49:36,CPU Spike,12s
2025-05-10 07:49:36,Fuga de Memoria,12s
2025-05-10 07:53:13,CPU Spike,2s
2025-05-10 07:53:13,Fuga de Memoria,21s
2025-05-10 07:53:23,CPU Spike,2s
2025-05-10 07:53:44,DDoS,6s
2025-05-10 08:34:27,DDoS,17s
2025-05-10 08:34:27,CPU Spike,17s
2025-05-10 20:04:33,CPU Spike,43s
2025-05-10 20:18:47,CPU Spike,22s
2025-05-10 23:04:30,Fuga de Memoria,34s
2025-05-10 23:07:14,Fuga de Memoria,26s
2025-05-10 23:07:27,Fuga de Memoria,10s
2025-05-10 23:07:44,CPU Spike,11s
2025-05-10 23:08:14,CPU Spike,23s
2025-05-10 23:08:14,Fuga de Memoria,23s
2025-05-11 11:00:32,Fuga de Memoria,49s
2025-05-12 14:41:03,CPU Spike,16s
2025-05-12 14:41:35,Fuga de Memoria,24s
2025-05-12 14:42:26,DDoS,36s
2025-05-12 15:46:35,CPU Spike,10s
2025-05-12 15:53:03,CPU Spike,3s
2025-05-12 15:53:04,Fuga de Memoria,3s
2025-05-12 15:56:07,DDoS,55s
2025-05-12 15:57:24,CPU Spike,6s
2025-05-12 16:02:10,CPU Spike,4s
2025-05-12 16:05:31,CPU Spike,9s
2025-05-12 18:52:58,DDoS,13s
2025-05-12 18:54:12,DDoS,37s
2025-05-12 19:13:35,DDoS,29s
2025-05-12 19:13:52,CPU Spike,7s
2025-05-12 19:27:29,DDoS,4s
2025-05-12 19:30:23,DDoS,67s
2025-05-12 19:36:02,DDoS,2s
2025-05-12 20:00:57,DDoS,5s
2025-05-12 20:11:24,DDoS,4s
2025-05-12 20:14:38,DDoS,20s
2025-05-12 22:56:11,DDoS,26s
2025-05-13 11:53:28,CPU Spike,3s
2025-05-13 12:37:19,CPU Spike,15s
2025-05-13 12:51:51,Fuga de Memoria,38s
2025-05-13 12:52:10,Fuga de Memoria,10s
2025-05-13 12:55:48,Fuga de Memoria,8s
2025-05-13 13:01:48,Fuga de Memoria,11s
2025-05-13 19:11:58,DDoS,6s
2025-05-13 19:13:42,CPU Spike,4s
2025-05-13 19:14:09,CPU Spike,20s
2025-05-13 19:14:09,Fuga de Memoria,20s
2025-05-15 12:08:59,Fuga de Memoria,10s
2025-05-15 12:24:46,Fuga de Memoria,15s
2025-05-15 12:25:25,Fuga de Memoria,20s
2025-05-15 12:39:25,Fuga de Memoria,33s
